Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,RELEVEN location type,Date,Dating authority,Outside source,Notes
Aaron,101,226477,Mesopotamia,https://pleiades.stoa.org/places/874602,,Boilas,39,Mesopotamia: served as doux of Mesopotamia,Dignity,,,,
Aaron,101,417558,Vaspurakan,,,Seals,,Vaspurakan: was katepano of Vaspurakan,Dignity,,,,
Aaron,101,418494,Ani and Iberia,,,Seals,,Ani and Iberia: was doux of Ani and Iberia,Dignity,,,,
Aaron,101,418495,Ani,https://pleiades.stoa.org/places/874322,,Seals,,Ani: was doux of Ani,Dignity,,,,
Aaron,101,418496,Iberia (theme),,,Seals,,Iberia: was doux of Iberia,Dignity,,,,
Aaron,101,247012,Hades (near Nicaea),https://pleiades.stoa.org/places/554174,,Zonaras,"18.2.19, 18.2.21",Hades (near Nicaea): joined battle at Hades (near Nicaea),Specifies presence,,,,
Abramios,103,225993,Aromaine,,,Alexios Stoudites,27.22,Aromaine: was bishop of Aroma ne,Dignity,,,,
Adrianos,102,372902,Constantinople: Boukoleon,,,Anna Komnene,89.66,Constantinople: Boukoleon: came to live in the palace of  Boukoleon,Specifies presence,,,,
Adrianos,102,372903,Choirenoi,,,Anna Komnene,243.23,Choirenoi: was charged with the crossing of the infantry and cavalry over the pontoon bridge at Choirenoi,Specifies presence,,,,
Adrianos,102,372904,Serres (Macedonia),https://pleiades.stoa.org/places/501616,,Anna Komnene,273.83,Serres: was ordered to meet <Nikephoros 64> in his tent at Serres,Specifies presence / Specifies presence near,"J 1094, February",Editor,,"Both the Greek and English translation write: ""So he encamped near Serres, where the Emperor was also."" I'm not sure whether this means that the emperor (and therefore Adrianos) was in Serres or 'there' refers to 'near Serres'."
Adrianos,103,226476,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Boilas,39,Antioch (on the Orontes): served as doux of Antioch (on the Orontes),Dignity,,,,
