Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Walter,4001,431489,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,I.6,Constantinople: was well received by Alexios 001 at Constantinople, Walter 4001: Constantinople: Specifies presence ,Specifies presence,J 1096,Albert of Aachen,,
Hugh,4001,431555,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.7,Constantinople: was imprisoned by <Alexios 1> in Constantinople,Hugh 4001: Constantinople: Specifies presence ,Specifies presence,,,,
Clarembald,4001,431556,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.7,Constantinople: was imprisoned by Alexios 001 in Constantinople,Clarembald 4001: Constantinople: Specifies presence ,Specifies presence,,,,
Drogo,4001,431557,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.7,Constantinople: was imprisoned by Alexios 001 in Constantinople,Drogo 4001: Constantinople: Specifies presence ,Specifies presence,,,,
William,4006,431561,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.9,Constantinople: was probably imprisoned in Constantinople,William 4006: Constatinople: Does not specify presence ,Does not specify presence,,,,
Ridwan,4001,431658,Aleppo,https://pleiades.stoa.org/places/658409,,Albert of Aachen,IV.2,Aleppo: was ruler of Aleppo,Ridwan 4001: Aleppo: Specifies presence,Specifies presence,,,,
Hugh,26109,443000,St Abraham (Hebron),,,Albert of Aachen,ix.48,St Abraham (Hebron): was lord of St Abraham (Hebron),Hugh 26109: St Abraham (Hebron): Specifies presence (Digntiy) ,Dignity,J 1105,Albert of Aachen,,
Anselm,26102,431824,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.24,Constantinople: died in Constantinople,Anselm 26102: Constantinople: Specifies presence ,Specifies presence,J 1101,Albert of Aachen,,
Anselm,26102,431806,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.4,Constantinople: Blachernai: could not prevent the Lombards from outside the city attacking  Blachernai,"Anselm 26102: Constantinople, Blachernai: Does not specify presence ",Does not specify presence,J 1101,Albert of Aachen,,
Albert,26102,431807,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.4,Constantinople: Blachernai: could not prevent the Lombards from outside the city attacking  Blachernai,"Albert 26102: Constantinople, Blachernai: Does not specify presence ",Does not specify presence,J 1101,Albert of Aachen,,
Anonymus,26149,431808,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.4,Constantinople: Blachernai: was killed in an attack by the Lombard crusaders on  Blachernai,"Anonymus 26149: Constantinople, Blachernai: Specifies presence ",Specifies presence,J 1101,Albert of Aachen,,
Cocosander,26101,443133,Lagabria (unidentified),,,Albert of Aachen,XII.19,Lagabria (unidentified): was said to come from the town of Lagabria,Cocosander 26101:Lagabria (unidentified): Does not specify presence ,Does not specify presence,,,,
Zachakios,101,225907,Arke,,,Alexios Stoudites,13.16,Arke: was bishop of Arke,Zachakios 101: Arke: Specifies presence (Dignity),Dignity,,,,
Niketas,141,225942,Bizye (Thrace),https://pleiades.stoa.org/places/511190,,Alexios Stoudites,"20.10, Rhalles-Potles 5.32",Bizye (Thrace): was archbishop of Bizye (Thrace),Niketas 141: Bizye (Thrace): Specifies presence  (Dignity),Dignity,,,,
Alexios,11,225901,Constantinople,https://pleiades.stoa.org/places/520998,,Alexios Stoudites,"8.1, 25.1, 47, VV 12.516",Constantinople: was archbishop (patriarch) of Constantinople,Alexios 11: Constantinople: Specifies presence  (Dignity),Dignity,,,,
Sulayman,5000,433158,Drakon river,,,Anna Komnene,116.96,Drakon river: had his boundary with Byzantium fixed at the Drakon river,Sulayman 5000: Dracon River: Does not specify presence  //// Correction //// Alexios 1: Dracon River: Specifies presence ,Specifies presence,J 1081,Anna Komnene,,
Robert,61,433168,Glossa (headland opposite Kerkyra),,,Anna Komnene,117.38,Glossa (headland opposite Kerkyra): suffered severely in a storm near Glossa,Robert 61: Glossa: Specifies presence near,Specifies presence near,J 1081,Anna Komnene,,
Anonymus,690,433178,Epidamnos,,,Anna Komnene,119.84,Epidamnos: he claimed to have camped with <Robert 61> around the ruins of the ancient city of Epidamnos,Anonymous envoy from Bishop of Bari: Epidamnus: Specifies presence ,Specifies presence,J 1081,Anna Komnene,,
Bohemond,61,433209,Pallia (near Dyrrachion): church of the Theotokos,,,Anna Komnene,123.91-92,Pallia (near Dyrrachion): church of the Theotokos: was defeated by the Venetians near the church of the Theotokos,"Bohemond 61: Pallia (near Dyrrachion), church of the Theotokos: Specifies presence near",Specifies presence near,J 1081 June,Anna Komnene,,June of fourth indiction
Robert,61,433220,Glykys (river in Epiros),,,Anna Komnene,125.61,Glykys (river in Epiros): was blockaded in his camp on the river Glykys,Robert 61: River Glykys (river in Epiros): Specifies presence,Specifies presence,J 1081,Anna Komnene,,
Alexios,1,433253,Dyrrachion: Hagios Nikolaos,,,Anna Komnene,129.86,Dyrrachion: Hagios Nikolaos: looked for a battle-ground near Hagios Nikolaos (four stades from the city),Alexios 1: Hagios Nikolaos (four miles from Dyrrachion): Specifies presence ,Specifies presence,"J 1081, 15th October ",Anna Komnene,, 15th October of the fifth indiction
Robert,61,433277,Dyrrachion: Hagios Theodoros,,,Anna Komnene,132.79-80,Dyrrachion: Hagios Theodoros: took communion before the battle at Hagios Theodoros,Robert 61: Hagios Theodoros (near Dyrrachion): Specifies presence ,Specifies presence,"J 1081, 18th October ",Anna Komnene,, 18th October of the fifth indiction
