Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,RELEVEN location type,Date,Dating authority,Notes
Bartholomaios,26101,431877,"Mopsuestia (Missis(a), Cilicia)",https://pleiades.stoa.org/places/658538,,Albert of Aachen,#No Reference#,Mopsuestia: was bishop of Mopsuestia,Dignity,,,"no reference, correct reference is IX. 16"
Anonymus,26106,431602,Dorylaion,https://pleiades.stoa.org/places/609367,,Albert of Aachen,55.40,Dorylaion: galloped to bring one half of the crusader army to save the other Dorylaion,Specifies presence,,,
Petros,61,431511,Nis (Naissus),,,Albert of Aachen,I.10,"Nis: after the mauling of his rearguard, turned back for negotiations to Nis",Specifies presence,"J 1096, July",source,"incorrect source location, correct source location is I. 11"
Fulcher,4001,431513,Nis (Naissus),,,Albert of Aachen,I.11-12,Nis: took part in the hostilities at Nis,Specifies presence,"J 1096, July",source,
Renaud,4001,431512,Nis (Naissus),,,Albert of Aachen,I.11-12,Nis: took part in the hostilities at Nis,Specifies presence,"J 1096, July",source,
Petros,61,431514,Serdica (Bulgaria),https://pleiades.stoa.org/places/207439,,Albert of Aachen,I.14,Serdica: stayed briefly at Serdica,Specifies presence,,,
Petros,61,431515,Philippopolis,https://pleiades.stoa.org/places/216927,,Albert of Aachen,I.14,Philippopolis: successfully appealed for alms at Philippopolis,Specifies presence,,,
Petros,61,431516,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Albert of Aachen,I.14,Adrianople: stayed very briefly at Adrianople,Specifies presence,,,
Petros,61,431517,Bosporos,https://pleiades.stoa.org/places/520977,,Albert of Aachen,I.15,Bosporos: he soon crossed the Bosporos,Specifies presence,,,
Petros,61,431518,Cappadocia,,,Albert of Aachen,I.15,"Cappadocia: after crossing from the capital, reached Cappadocia",Specifies presence,,,Cappadocia means Asia Minor here
Petros,61,431519,Nikomedeia,https://pleiades.stoa.org/places/511337,,Albert of Aachen,I.15,Nikomedeia: spent the night at Nikomedeia,Specifies presence,,,
Petros,61,431523,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,I.15,Nicaea: was warned to keep well away from Nicaea,Does not specify presence,,,
Walter,4001,431522,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,I.15,Nicaea: was warned to keep well away from Nicaea,Does not specify presence,,,Walter is not mentioned by name here in truth
Petros,61,431472,Amiens,https://pleiades.stoa.org/places/109321,,Albert of Aachen,I.2,Amiens: was born in Amiens,Does not specify presence,,,
Petros,61,431473,Berry,,,Albert of Aachen,I.2,Berry: began his preaching in Berry,Specifies presence,,,
Gottschalk,4001,431529,Mosony,,,Albert of Aachen,I.23,Mosony: on his crusade reached Mosony,Specifies presence,,,
Petros,61,431474,Jerusalem,https://pleiades.stoa.org/places/687928,,Albert of Aachen,I.2-3,Jerusalem: before the Crusade visited Jerusalem,Specifies presence,,,
Gottschalk,4001,431530,Pannonhalma,,,Albert of Aachen,I.24-25,Pannonhalma: was tricked and suffered a cruel massacre at Pannonhalma,Specifies presence,,,the place is called Belegraue (maybe unnecessary)
Gottschalk,4001,431531,Berino(u)polis,,,Albert of Aachen,I.24-25,Belgrade: was tricked and suffered a cruel massacre at Belgrade,Specifies presence,,,the place is called Belegraue
Emicho,4001,431533,Cologne,,,Albert of Aachen,I.26,Cologne: took over a band who had slaughtered Jews at Cologne,Does not specify presence,,,Emicho was not in Cologne!
Emicho,4001,431532,Mainz,,,Albert of Aachen,I.27,Mainz: waited for his fellow-crusaders at Mainz,Specifies presence,,,
Emicho,4001,431534,Mainz,,,Albert of Aachen,I.27,Mainz: presided over a major massacre of Jews at Mainz,Specifies presence,,,
Ruthard,26101,431535,Mainz,,,Albert of Aachen,I.27,Mainz: was bishop of Mainz,Specifies presence,,,
Anonymus,26104,431540,Mosony,,,Albert of Aachen,I.28,Mosony: was beheaded during the siege of Mosony,Specifies presence,"J 1096, June 15 [TPQ]",source,
Clarembald,4001,431537,Mosony,,,Albert of Aachen,I.28-29,Mosony: unsuccessfully besieged Mosony,Specifies presence,"J 1096, June 15 [TPQ]",source,
Emicho,4001,431536,Mosony,,,Albert of Aachen,I.28-29,Mosony: unsuccessfully besieged Mosony,Specifies presence,"J 1096, June 15 [TPQ]",source,
Thomas,4001,431538,Mosony,,,Albert of Aachen,I.28-29,Mosony: unsuccessfully besieged Mosony,Specifies presence,"J 1096, June 15 [TPQ]",source,
Coloman,51,431539,Mosony,,,Albert of Aachen,I.29,Mosony: massacred the army of <Emicho 4001> at Mosony,Specifies presence,"J 1096, June 15 [TPQ]",source,
Petros,61,431476,Jerusalem: Holy Sepulchre,,https://www.geonames.org/8335062,Albert of Aachen,I.4,Jerusalem: Church of the Holy Sepulchre: saw a vision of Jesus in the  Church of the Holy Sepulchre,Specifies presence,,,
Petros,61,431477,Bari (Apulia),https://pleiades.stoa.org/places/442500,,Albert of Aachen,I.5,Bari: returned from Jerusalem to Rome via Bari,Specifies presence,,,
Petros,61,431478,Rome,https://pleiades.stoa.org/places/423025,,Albert of Aachen,I.5,Rome: gave <Symeon 104>'s letter to the pope in Rome,Specifies presence,,,
Urban,22,431479,Vercelli (?),,,Albert of Aachen,I.5,"Vercelli (?): after receiving the letter in Rome from <Petros 61>, moved north to Vercelli (?)",Specifies presence,,,
Urban,22,431480,Le Puy,,,Albert of Aachen,I.5,Le Puy: crossed the Alps to a council at Le Puy,Specifies presence,,,The journey of Urban II to Clermont is missing?
Niketas,4001,431490,Serdica (Bulgaria),https://pleiades.stoa.org/places/207439,,Albert of Aachen,I.6,Serdica: gave <Walter 4001> a safe-conduct to Serdica,Does not specify presence,,,
Niketas,4001,431491,Philippopolis,https://pleiades.stoa.org/places/216927,,Albert of Aachen,I.6,Philippopolis: gave <Walter 4001> a safe-conduct to Philippopolis,Does not specify presence,,,
Niketas,4001,431492,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Albert of Aachen,I.6,Adrianople: gave <Walter 4001> a safe-conduct to Adrianople,Does not specify presence,,,
Niketas,4001,431493,Berino(u)polis,,,Albert of Aachen,I.6,Belgrade: was governor of Belgrade,Dignity,,,
Niketas,4001,431497,Nis (Naissus),,,Albert of Aachen,I.6,Nis: was governor of Nis,Dignity,,,
Walter,4001,431482,Hungary,,,Albert of Aachen,I.6,Hungary: entered Hungary,Specifies presence,"J 1096, March 8 [TPQ]",source,
Walter,4001,431483,Berino(u)polis,,,Albert of Aachen,I.6,Belgrade: crossed Hungary safely to Belgrade,Specifies presence,,,
Walter,4001,431484,Malevilla,,,Albert of Aachen,I.6,Malevilla: crossed Hungary safely to Malevilla,Specifies presence,,,
Walter,4001,431485,Morava,,,Albert of Aachen,I.6,"Morava: to reach Belgrade, crossed the Morava",Specifies presence,,,
Walter,4001,431486,Serdica (Bulgaria),https://pleiades.stoa.org/places/207439,,Albert of Aachen,I.6,Serdica: was given by <Niketas 4001> a safe-conduct to Serdica,Specifies presence,,,
Walter,4001,431487,Philippopolis,https://pleiades.stoa.org/places/216927,,Albert of Aachen,I.6,Philippopolis: was given by <Niketas 4001> a safe-conduct to Philippopolis,Specifies presence,,,
Walter,4001,431488,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Albert of Aachen,I.6,Adrianople: was given by <Niketas 4001> a safe-conduct to Adrianople,Specifies presence,,,
Walter,4001,431503,Sava,,,Albert of Aachen,I.6,"Sava: to reach Belgrade, crossed the Sava",Specifies presence,,,
Anonymus,26101,431510,Nis (Naissus),,,Albert of Aachen,I.6,Nis: had a dispute with men of Petros 061 at Nis,Specifies presence,,,wrong source location; the correct is 1.9
Godfrey,4002,431500,Malevilla,,,Albert of Aachen,I.7,Malevilla: showed bravery in the capture of Malevilla,Specifies presence,,,
Petros,61,431494,Hungary,,,Albert of Aachen,I.7,Hungary: with his huge army he reached Hungary,Specifies presence,,,
Petros,61,431496,Malevilla,,,Albert of Aachen,I.7,Malevilla: without incident reached Malevilla,Specifies presence,,,
Petros,61,431498,Malevilla,,,Albert of Aachen,I.7,Malevilla: took vengeance for soldiers of <Walter 4001> by capturing Malevilla,Specifies presence,,,
Renaud,4001,431499,Malevilla,,,Albert of Aachen,I.7,Malevilla: showed bravery in the capture of Malevilla,Specifies presence,,,
Godfrey,4002,431509,Etampes,,,Albert of Aachen,"I.7, I.9",Etampes: was from Etampes,Does not specify presence,,,
Niketas,4001,431501,Berino(u)polis,,,Albert of Aachen,I.8,"Belgrade: after <Petros 61>'s massacre at Malevilla, decided to abandon Belgrade",Specifies presence,,,
Niketas,4001,431502,Nis (Naissus),,,Albert of Aachen,I.8,"Nis: after <Petros 61>'s massacre at Malevilla, abandoned Belgrade for Nis",Specifies presence,,,
Petros,61,431504,Sava,,,Albert of Aachen,I.8,Sava: suffered casualties from Pecheneg inhabitants of Bulgaria in crossing the Sava,Specifies presence,,,Sava is called Morava by Albert of Aachen
Petros,61,431505,Morava,,,Albert of Aachen,I.8,Morava: suffered casualties from Pecheneg inhabitants of Bulgaria in crossing the Morava,Specifies presence,,,This entry should be merged with the former one!
Godfrey,4002,431508,Nis (Naissus),,,Albert of Aachen,I.9,Nis: was given as a hostage at Nis,Specifies presence,,,
Waleran,26101,431506,Breteuil,,,Albert of Aachen,I.9,Breteuil: was lord of Breteuil,Does not specify presence,,,
Walter,26101,431507,Nis (Naissus),,,Albert of Aachen,I.9,Nis: was given as a hostage at Nis,Specifies presence,,,
Galo,4002,431597,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II. 29,Nicaea: was killed by an arrow in the siege of Nicaea,Specifies presence,,,
Godfrey,51,431541,Lorraine,,,Albert of Aachen,II.1,Lorraine: was duke of Lorraine,Does not specify presence,,,
Godfrey,51,431542,Tulln,,,Albert of Aachen,II.1,Tulln: waited three weeks at Tulln,Specifies presence,"J 1096, September",source,
Godfrey,51,431562,Bosporos,https://pleiades.stoa.org/places/520977,,Albert of Aachen,II.11,Bosporos: moved his camp to palaces on the shore of the Bosporos,Specifies presence,"J 1096, December 27 [TPQ]",source,
Baldwin,51,431563,Constantinople: bridge at the end of the Golden Horn,,,Albert of Aachen,II.13,Constantinople: bridge at the end of the Golden Horn: bravely defended the  bridge at the end of the Golden Horn,Specifies presence,"J 1096, December 27 [TPQ]",source,
Adhemar,4001,442393,Le Puy,,,Albert of Aachen,II.20,Le Puy: was bishop of Le Puy,Does not specify presence,,,
Petros,61,431570,Rouphinianai (on Bosporos),https://pleiades.stoa.org/places/521141,,Albert of Aachen,II.20,Rouphinianai: joined the other crusaders with his remaining forces at Rouphinianai,Specifies presence,,,
Raymond,61,431569,Rouphinianai (on Bosporos),https://pleiades.stoa.org/places/521141,,Albert of Aachen,II.20,Rouphinianai: sent envoys who met the other crusaders at Rouphinianai,Does not specify presence,,,
Godfrey,51,431571,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II.21,Nicaea: decided where the besiegers should be positioned at Nicaea,Specifies presence,,,
Kilic Arslan,51,431572,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II.21,Nicaea: carefully prepared the defences of Nicaea,Does not specify presence,,,His preparations for the siege do not necessarily imply his attendance
Baldwin,4004,431575,Mons,,,Albert of Aachen,II.22,Mons: was from the castle of Mons,Does not specify presence,,,was present at Nicaea
Baldwin,4006,431579,Lant,,,Albert of Aachen,II.22,Lant: was from the castle of Lant,Does not specify presence,,,was present at Nicaea
Garnier,4001,431574,Grez,,,Albert of Aachen,II.22,Grez: was from the castle of Grez,Does not specify presence,,,was present at Nicaea
Gerard,4002,431577,Quierzy,,,Albert of Aachen,II.22,Quierzy: was from the castle of Quierzy,Does not specify presence,,,was present at Nicaea
Godfrey,51,431573,Bouillon,,,Albert of Aachen,II.22,Bouillon: was lord of the castle of Bouillon,Does not specify presence,,,was present at Nicaea
Guy,4001,431578,Possesse,,,Albert of Aachen,II.22,Possesse: was from the castle of Possesse,Does not specify presence,,,was present at Nicaea
Thomas,4001,431576,Fere,,,Albert of Aachen,II.22,Fere: was from the castle of La Fere,Does not specify presence,,,was present at Nicaea
William,4003,431580,Forez,,,Albert of Aachen,II.22,Forez: was a count from the castle of Forez,Does not specify presence,,,was present at Nicaea
Alan,4001,431587,Brittany,,,Albert of Aachen,II.23,Brittany: was a prince of Brittany,Does not specify presence,,,was present at Nicaea
Conan,4001,431586,Brittany,,,Albert of Aachen,II.23,Brittany: was a prince of Brittany,Does not specify presence,,,was present at Nicaea
Gaston,4001,431583,B̩ziers,,,Albert of Aachen,II.23,B̩ziers: was from the city of B̩ziers,Does not specify presence,,,was present at Nicaea
Gerard,4001,431584,Roussillon,,,Albert of Aachen,II.23,Roussillon: was from the city of Roussillon,Does not specify presence,,,was present at Nicaea
